CurentRegion,CurrentMapDistrict,Sum of AllPeople,admin2_name,admin2_pcode
Awdal,Baki,"2,522",Baki,SO1102
Awdal,Borama,"6,626",Borama,SO1101
Awdal,Lughaye,"1,902",Lughaye,SO1103
Awdal,Zeylac,"1,233",Zeylac,SO1104
Bakool,Ceel Barde,"57,722",Ceel Barde,SO2502
Bakool,Rab Dhuure,18,Rab Dhuure,SO2505
Bakool,Tayeeglow,15,Tayeeglow,SO2503
Bakool,Waajid,220,Waajid,SO2504
Bakool,Xudur,"44,150",Xudur,SO2501
Banadir,Banadir,"369,806",Banadir,SO2201
Bari,Bandarbeyla,"1,732",Bandarbeyla,SO1602
Bari,Bossaso,"19,254",Bossaso,SO1601
Bari,Caluula,286,Caluula,SO1603
Bari,Iskushuban,"15,587",Iskushuban,SO1604
Bari,Qandala,946,Qandala,SO1605
Bari,Qardho,"21,650",Qardho,SO1606
Bay,Baydhaba,"125,240",Baydhaba,SO2401
Bay,Buur Hakaba,5,Buur Hakaba,SO2402
Bay,Diinsoor,"31,335",Diinsoor,SO2403
Bay,Qansax Dheere,"30,440",Qansax Dheere,SO2404
Galgaduud,Cabudwaaq,"38,557",Cabudwaaq,SO1902
Galgaduud,Cadaado,"31,702",Cadaado,SO1903
Galgaduud,Ceel Buur,216,Ceel Buur,SO1904
Galgaduud,Ceel Dheer,275,Ceel Dheer,SO1905
Galgaduud,Dhuusamarreeb,"60,004",Dhuusamarreeb,SO1901
Gedo,Baardheere,"56,932",Baardheere,SO2602
Gedo,Belet Xaawo,"12,835",Belet Xaawo,SO2603
Gedo,Ceel Waaq,"2,415",Ceel Waaq,SO2604
Gedo,Doolow,"21,409",Doolow,SO2605
Gedo,Garbahaarey,"13,642",Garbahaarey,SO2601
Gedo,Luuq,"24,757",Luuq,SO2606
Hiraan,Belet Weyne,"7,412",Belet Weyne,SO2001
Hiraan,Bulo Burto,"1,299",Bulo Burto,SO2002
Hiraan,Jalalaqsi,"1,101",Jalalaqsi,SO2003
Lower Juba,Afmadow,"28,999",Afmadow,SO2802
Lower Juba,Badhaadhe,"8,491",Badhaadhe,SO2803
Lower Juba,Jamaame,"8,271",Jamaame,SO2804
Lower Juba,Kismaayo,"53,122",Kismaayo,SO2801
Lower Shabelle,Afgooye,"11,231",Afgooye,SO2302
Lower Shabelle,Baraawe,926,Baraawe,SO2303
Lower Shabelle,Kurtunwaarey,"2,883",Kurtunwaarey,SO2304
Lower Shabelle,Marka,"6,285",Marka,SO2301
Lower Shabelle,Qoryooley,"1,828",Qoryooley,SO2305
Lower Shabelle,Sablaale,737,Sablaale,SO2306
Lower Shabelle,Wanla Weyn,209,Wanla Weyn,SO2307
Middle Juba,Bu'aale,56,Bu'aale,SO2701
Middle Juba,Jilib,176,Jilib,SO2702
Middle Juba,Saakow,"37,108",Saakow,SO2703
Middle Shabelle,Adan Yabaal,"2,059",Adan Yabaal,SO2102
Middle Shabelle,Balcad,"1,968",Balcad,SO2103
Middle Shabelle,Cadale,"1,359",Cadale,SO2104
Middle Shabelle,Jowhar,"9,892",Jowhar,SO2101
Mudug,Gaalkacyo,"72,109",Gaalkacyo,SO1801
Mudug,Galdogob,"10,791",Galdogob,SO1802
Mudug,Hobyo,"29,250",Hobyo,SO1803
Mudug,Jariiban,"5,694",Jariiban,SO1804
Nugaal,Burtinle,"1,728",Burtinle,SO1702
Nugaal,Eyl,"2,360",Eyl,SO1703
Nugaal,Garoowe,"2,622",Garoowe,SO1701
Nugaal,Qardho,"4,625",Qardho,SO1606
Sanaag,Laasqoray,"4,535",Laasqoray,SO1503
Sanaag,Ceel Afweyn,"2,306",Ceel Afweyn,SO1502
Sanaag,Ceerigaabo,"15,304",Ceerigaabo,SO1501
Sanaag,Laasqoray,"3,317",Laasqoray,SO1503
Sanaag,Laasqoray,924,Laasqoray,SO1503
Sool,Caynabo,"3,959",Caynabo,SO1402
Sool,Laas Caanood,"14,203",Laas Caanood,SO1401
Sool,Taleex,914,Taleex,SO1403
Sool,Xudun,"5,374",Xudun,SO1404
Togdheer,Burco,"43,942",Burco,SO1301
Togdheer,Buuhoodle,"8,898",Buuhoodle,SO1302
Togdheer,Owdweyne,"10,596",Owdweyne,SO1303
Togdheer,Sheikh,3,Sheikh,SO1304
Woqooyi Galbeed,Berbera,214,Berbera,SO1202
Woqooyi Galbeed,Gebiley,247,Gebiley,SO1203
Woqooyi Galbeed,Hargeysa,"1,818",Hargeysa,SO1201
