type,name,label,relevant,required,constraint,constraint_message,calculation,choice_filter,appearance,hint
start,start,,,,,,,,,
end,end,,,,,,,,,
deviceid,deviceid,,,,,,,,,
today,today,,,,,,,,,
begin_group,location_info,Location Information,,,,,,,,
select_one region,region,In which region does your household reside?,,,,,,,,
select_one district,district,In which district does your household reside?,,,,,,,,
select_one yes_no,idp_settlement,Does the household reside an IDP?,,,,,,,,
end_group,,,,,,,,,,
begin_group,demographic,Household Information,,,,,,,,
select_one gender,gender,sex of respondent,,,,,,,,
integer,age,Age of respondent,,,,,,,,
select_one yes_no,hh_head,Head of household profile,,,,,,,,
integer,hohh_income,What is the total income of Head of Household per month? USD,,,,,,,,
select_one hh_displacement_status,hh_displacement_status,Is the HH displaced as a result of the conflict?,,,,,,,,
select_multiple hohh_vulnerability_opt,hohh_vulnerability,"Does the HH head have a vulnerability? If yes, what type?",,,,,,,,
end_group,,,,,,,,,,
begin_group,wgs,Washington Group Questions,,,,,,,,
select_one wgq,wgq_seeing,"Do you have difficulty seeing, even if wearing glasses? Would you say… [Read response categories]",,,,,,,,
select_one wgq,wgq_hearing,"Do you have difficulty hearing, even if using a hearing aid(s)? Would you say… [Read response categories]",,,,,,,,
select_one wgq,wgq_walking,Do you have difficulty walking or climbing steps? Would you say… [Read response categories],,,,,,,,
select_one wgq,wgq_remembering,Do you have difficulty remembering or concentrating? Would you say… [Read response categories],,,,,,,,
select_one wgq,wgq_selfcare,"Do you have difficulty with self-care, such as washing all over or dressing? Would you say… [Read response categories]",,,,,,,,
select_one wgq,wgq_language,"Using your usual language, do you have difficulty communicating, for example understanding or being understood? Would you say… [Read response categories]",,,,,,,,
end_group,,,,,,,,,,
begin_group,fcs,Household Dietary Diversity Score (Combined FCS/FCSN/HDDS),,,,,,,,
note,FCSStapNote,"How many days over the last 7 days, did most members of your household (50% +) eat the following food items, inside or outside the home?",,,,,,,,
integer,FCSStap,"Cereals, grains, roots and tubers, such as:",,,. >= 0 and .<=7,,,,,"Rice, pasta, bread, sorghum, millet, maize, potato, yam, cassava, white sweet potato."
select_one SRf,FCSStap_SRf,What was the main source of food for this food group?,,,,,,,,
note,HDDSStapNote,Did most of your household eat/consume the following foods yesterday?,,,,,,,,
select_one Yesno,HDDSStapCer,"Cereals, grains, such as:",,,,,,,,"Rice, pasta, bread, sorghum, millet, maize."
select_one Yesno,HDDSStapRoot,"Roots and tubers, such as:",,,,,,,,"Potato, yam, cassava, white sweet potato."
note,FCSPulseNote,"How many days over the last 7 days, did most members of your household (50% +) eat the following food items, inside or outside the home?",,,,,,,,
integer,FCSPulse,"Pulses/ legumes / nuts, such as:",,,. >= 0 and .<=7,,,,,"Beans, cowpeas, peanuts, lentils, nut, soy, pigeon pea and/or other nuts."
select_one SRf,FCSPulse_SRf,What was the main source of food for this food group?,,,,,,,,
note,HDDSPulseNote,Did most of your household eat/consume the following foods yesterday?,,,,,,,,
select_one Yesno,HDDSPulse,"Pulses/legumes/nuts, such as:",,,,,,,,"Beans, cowpeas, peanuts, lentils, nut, soy, pigeon pea and/or other nuts"
